Title,Description,Google Bard Extensions Prompt,Category,Tags
Efficient Content Consumption,"This prompt aids in professional development by identifying concise, relevant content, thus saving time.","Search @youtube for summaries or highlights of the latest industry conferences in my field. Provide a list sorted by duration, shortest first.",Productivity & Time-Saving,@youtube
Curate Educational Content,This prompt helps individuals with learning and development needs by summarizing top educational content and recommending the most appropriate video to watch.,Search @youtube for tutorials on the latest project management software tools. Summarize the top 5 results and suggest which one would be the most beneficial for me to watch based on its content and duration.,Learning & Development,@youtube
Best Places for Networking Events,The right venue can make a significant difference in the success of a networking event.,Find locations using @maps that are commonly used for industry events or have high ratings for business meetings. Evaluate their potential for hosting our own B2B networking events.,Business Networking & B2B Marketing,@maps
Email Filtering for Time-Sensitive Matters,"By isolating and summarizing urgent matters, this prompt ensures that nothing slips through the cracks.",Scan my @gmail for emails labeled 'Urgent' or those that mention 'time-sensitive' in the last 48 hours. Summarize these emails and their deadlines.,Productivity & Time-Saving,@gmail
Prioritize Customer Emails,"By prioritizing customer emails based on urgency and potential impact, this prompt helps improve customer relations while optimizing time spent on client management.",Check my @gmail for emails from customers or clients in the last week. Summarize them and prioritize based on the query's urgency and potential business impact.,Productivity & Time-Saving,@gmail
Document Prioritization,"The aim of this prompt is to categorize and prioritize work. By summarizing and labeling recently edited documents, individuals can focus on high-priority tasks for maximum output and efficiency.","Summarize the most recently edited files in @docs this week. Generate a report of ‘High Priority', 'Medium Priority', or 'Low Priority' based on their current status and deadlines mentioned within. Make recommendations for completing high-priority tasks first.",Increased Output & Efficiency,@docs
Analyze Sales Collaterals,Ensuring that your sales materials are up to date is crucial for making an effective pitch or presentation.,Go through my @drive and summarize all the sales presentations and collaterals stored. Suggest updates or new content needed to enhance B2B sales strategies.,Business Networking & B2B Marketing,@drive
Lead Outreach Follow-up Analysis,"By analyzing outreach metrics, this prompt helps to identify opportunities for follow-up, potentially turning cold leads into sales opportunities.",Scan my @gmail for emails labeled 'Lead Outreach' sent in the last three months. Summarize the response rates and suggest follow-up strategies for non-responders.,Lead Generation & Sales Improvement,@gmail
Geo-Optimized Client Meetings,"By optimizing routes for client meetings, you can spend more time with clients and less time on the road, thereby increasing output.",Scan my @gmail for upcoming client meetings. Use @maps to determine the geographical locations of each and suggest an optimized route to minimize travel time.,Increased Output & Efficiency,"@gmail, @maps"
Review and Leverage Existing Contacts,"Sometimes the best opportunities come from existing connections, and this prompt helps to identify those.",Go through my @gmail recent conversations and identify those associated with key companies or industries we're targeting for B2B sales. Summarize the list and suggest a strategy for re-engagement.,Business Networking & B2B Marketing,@gmail
Recommended Reading,"Further reading can provide more in-depth knowledge, enabling better decision-making and problem-solving.",Search @youtube for expert talks or interviews related to my industry or profession. Summarize the main points and suggest relevant books or articles for deeper learning.,Learning & Development,@youtube
Sales Script Optimization,"Improving your sales script can be a quick win for improving conversion rates, and this prompt aims to help you do just that.",Search my @docs for any sales scripts or pitches. Compare these with successful sales techniques mentioned in @youtube videos. Provide suggestions to optimize the sales scripts based on successful examples.,Lead Generation & Sales Improvement,"@docs, @youtube"
Identify Industry Conferences for Learning,"Conferences can be a great way to rapidly accelerate learning and networking, and this prompt helps you identify the most relevant ones.","Look through my @gmail for invites or mentions of upcoming industry conferences and workshops. Evaluate their potential for learning and development, and suggest a prioritized list for attendance.",Learning & Development,@gmail
,,,,
,,,,
,,,,
,,,,
Skill Gap Identification,Identifying skill gaps and addressing them can dramatically improve team output and efficiency over time.,Analyze my @docs where I have outlined my team's skills and responsibilities. Compare this with industry standards from @youtube videos. Identify any skill gaps and recommend training programs.,Increased Output & Efficiency,"@docs, @youtube"
Analyzing Vendor Communications,"This prompt can help businesses save money by keeping track of discounts, promotions, or special offers from vendors. The model will identify and summarize these opportunities, allowing businesses to act on them timely.","Check my @gmail email inbox for any emails from vendors that mention 'discount', 'promotion', or 'special offer' in the last month. Summarize these opportunities and provide recommendations for taking advantage of them.",Cost Savings,@gmail
Automated Daily Briefing,"This prompt serves as a daily briefing tool, providing a snapshot of current project status and pending tasks, helping you plan your day more effectively.",Check my @gmail email inbox and @drive for any updates or documents related to my current projects. Summarize the updates and list the pending action items for each project.,Productivity & Time-Saving,"@drive, @gmail"
Team Training Needs,This prompt aims to improve team performance by addressing collective skill gaps.,Review @docs for any team meeting notes or project retrospectives that highlight team-wide skill deficiencies or areas for growth. Recommend team training programs or @youtube channels that can address these issues.,Learning & Development,"@docs, @youtube"
Most Efficient Business Travel Planning,Efficient travel planning can be a great asset in maintaining a wide network and can directly impact your bottom line.,"Based on the locations of my upcoming B2B meetings from @gmail, find the most efficient flight plans using @flights. Calculate potential cost and time savings for different scenarios.",Business Networking & B2B Marketing,"@flights, @gmail"
Early Renewal Discounts,Early renewal often comes with cost savings. This prompt aims to proactively identify such opportunities.,Scan my @gmail for subscriptions and contracts that are due for renewal in the next three months. Research online or through the service provider to see if there are any discounts available for early renewal.,Cost Savings,@gmail
Tracking Professional Certifications,"Maintaining up-to-date certifications can be crucial in some industries, and this prompt helps you keep track.",Check my @docs for records of any professional certifications I have. Identify those that are close to expiration and suggest a timeline for renewal or upgrading.,Learning & Development,@docs
Industry Expertise Through Content,Keeping abreast of industry knowledge can give you a competitive edge in B2B interactions.,"Find @youtube videos related to trends, technologies, or best practices in my industry. Summarize the topics covered and recommend how to use this information in conversations with B2B clients.",Business Networking & B2B Marketing,@youtube
Email-Based Expense Audit,Identifying and evaluating recurring payments can lead to substantial cost savings by eliminating unused or unnecessary subscriptions.,Scan my @gmail for emails related to software subscriptions or recurring payments in the last 6 months. Summarize the cost and renewal dates and recommend which ones to keep or cancel.,Cost Savings,@gmail
Efficient Research for Content Creation,"For content creators, marrying their own research with trends and information on YouTube can lead to richer, more engaging content, produced more efficiently.",Scan my most recent documents in @docs related to upcoming content topics. Search @youtube for complementary information or trends about these topics. Provide summaries and potential integration points.,Increased Output & Efficiency,"@docs, @youtube"
Equipment and Supplies Audit,Knowing what you're spending on office supplies and equipment can lead you to more cost-effective alternatives.,Scan my @gmail for invoices and purchase orders related to office supplies or equipment in the past 6 months. Recommend alternatives for cost savings based on online research.,Cost Savings,@gmail
Sales Process Streamlining,Understanding bottlenecks in the sales process can help you focus your improvement efforts where they will make the most difference.,Analyze my @gmail conversations related to closed sales deals. Identify the most time-consuming stages of the sales process and provide recommendations for streamlining.,Increased Output & Efficiency,@gmail
Quarterly Business Review Preparation,Preparation for a Quarterly Business Review (QBR) can be time-consuming. Automating the initial research and outline generation can save hours.,Summarize the most critical documents and emails in @docs and @gmail related to this quarter's business performance. Generate an outline for a Quarterly Business Review presentation.,Increased Output & Efficiency,"@docs, @gmail"
Team Upskilling on a Budget,Free or low-cost training options can be a way to improve your team's skill set without breaking the bank.,Find @youtube tutorials and free courses related to the skill gaps I've identified in my team (documented in @docs). Summarize the options available.,Cost Savings,"@docs, @youtube"
Networking Skill Development,Improving your networking skills can open doors to new opportunities and contribute to business growth.,Find @youtube videos that offer advanced techniques in business networking and relationship building. Summarize key points and suggest ways to incorporate them into my B2B strategies.,Business Networking & B2B Marketing,@youtube
Automated Expense Tracking,Keeping track of expenses can be time-consuming; this prompt automates this aspect of personal or business finance.,Check my @gmail for any receipts or invoices received in the last month. Summarize these expenses and categorize them as 'Business' or 'Personal.',Productivity & Time-Saving,@gmail
Competitor Analysis Through Content,"This prompt provides an automated form of competitor analysis, offering insights that could lead to improved sales.",Search @youtube for the latest product launches and reviews related to my industry. Summarize key features and market reactions. Suggest how we can incorporate successful elements into our products.,Lead Generation & Sales Improvement,@youtube
Flight and Hotel Bundle Savings,"Bundling flights and hotels can offer significant savings, and this prompt would automate the process of finding the best bundle deals.",Cross-reference my upcoming business trips found in @gmail with @flights and @hotels to find the most cost-effective bundle options for flights and hotels. Provide a comparison for decision-making.,Cost Savings,"@flights, @gmail, @hotels"
Optimize Business Operations,Understanding existing processes can unveil areas for cost-saving automation or optimization.,Summarize internal company SOPs and guidelines available in @docs. Highlight any processes that can be automated or streamlined to reduce operational costs.,Cost Savings,@docs
Skill Gap Analysis,This prompt is aimed at facilitating personal development by identifying skill gaps and suggesting ways to address them.,Analyze my @docs for any performance reviews or self-assessments conducted in the past year. Identify areas where skills have been noted as lacking or needing improvement. Recommend courses or @youtube tutorials that address these gaps.,Learning & Development,"@docs, @youtube"
,,,,
,,,,
