Title,Category,Description,Google Bard Extensions Prompt,Tags
Website Copy SEO Enhancements,Lead Generation & Sales Improvement,Staying updated on SEO techniques can ensure consistent website visibility.,Analyze the 'Website Copy' in @docs for keyword density and relevance. Suggest improvements based on SEO best practices. Direct me to @youtube tutorials on modern SEO techniques to enhance my understanding.,"@docs, @youtube"
Automated Expense Tracking,Productivity & Time-Saving,Keeping track of expenses can be time-consuming; this prompt automates this aspect of personal or business finance.,Check my @gmail for any receipts or invoices received in the last month. Summarize these expenses and categorize them as 'Business' or 'Personal.',@gmail
Assessing Sales Channels,Lead Generation & Sales Improvement,This prompt aims to help you understand which sales channels are the most fruitful so that efforts can be concentrated there.,Analyze my @docs and @gmail to identify the most frequently mentioned sales channels or platforms. Provide a comparative analysis of their performance and recommend where to focus sales efforts.,"@docs, @gmail"
Equipment and Supplies Audit,Cost Savings,Knowing what you're spending on office supplies and equipment can lead you to more cost-effective alternatives.,Scan my @gmail for invoices and purchase orders related to office supplies or equipment in the past 6 months. Recommend alternatives for cost savings based on online research.,@gmail
Analyze Sales Collaterals,Business Networking & B2B Marketing,Ensuring that your sales materials are up to date is crucial for making an effective pitch or presentation.,Go through my @drive and summarize all the sales presentations and collaterals stored. Suggest updates or new content needed to enhance B2B sales strategies.,@drive
Tracking Professional Certifications,Learning & Development,"Maintaining up-to-date certifications can be crucial in some industries, and this prompt helps you keep track.",Check my @docs for records of any professional certifications I have. Identify those that are close to expiration and suggest a timeline for renewal or upgrading.,@docs
Webinar Lead Generation,Lead Generation & Sales Improvement,"By identifying relevant industry events, this prompt could unearth untapped opportunities for lead generation.","Look for industry-related webinars or online events mentioned in my @gmail or found on @youtube. Summarize the topics and speakers, and evaluate if sponsoring or attending these events could generate leads.","@gmail, @youtube"
Document Prioritization,Increased Output & Efficiency,"The aim of this prompt is to categorize and prioritize work. By summarizing and labeling recently edited documents, individuals can focus on high-priority tasks for maximum output and efficiency.","Summarize the most recently edited files in @docs this week. Generate a report of ‘High Priority', 'Medium Priority', or 'Low Priority' based on their current status and deadlines mentioned within. Make recommendations for completing high-priority tasks first.",@docs
Contract Review for Renewal and Upselling,Business Networking & B2B Marketing,Maximizing value from existing contracts is a key part of B2B sales.,Examine @docs for any B2B contracts that are nearing their expiration date within the next three months. Summarize the terms and make recommendations for renewal or upselling strategies.,@docs
Review and Leverage Existing Contacts,Business Networking & B2B Marketing,"Sometimes the best opportunities come from existing connections, and this prompt helps to identify those.",Go through my @gmail recent conversations and identify those associated with key companies or industries we're targeting for B2B sales. Summarize the list and suggest a strategy for re-engagement.,@gmail
Sales Script Optimization,Lead Generation & Sales Improvement,"Improving your sales script can be a quick win for improving conversion rates, and this prompt aims to help you do just that.",Search my @docs for any sales scripts or pitches. Compare these with successful sales techniques mentioned in @youtube videos. Provide suggestions to optimize the sales scripts based on successful examples.,"@docs, @youtube"
Email Filtering for Time-Sensitive Matters,Productivity & Time-Saving,"By isolating and summarizing urgent matters, this prompt ensures that nothing slips through the cracks.",Scan my @gmail for emails labeled 'Urgent' or those that mention 'time-sensitive' in the last 48 hours. Summarize these emails and their deadlines.,@gmail
Learning & Upskilling Prioritization,Productivity & Time-Saving,"By focusing on the most relevant educational content, this prompt enhances efficient learning and upskilling.","Search @youtube for tutorials related to skills I want to develop, as mentioned in my @docs labeled 'Skills Development Plan'. Prioritize them based on relevance to my goals.","@docs, @youtube"
Skill Gap Identification,Increased Output & Efficiency,Identifying skill gaps and addressing them can dramatically improve team output and efficiency over time.,Analyze my @docs where I have outlined my team's skills and responsibilities. Compare this with industry standards from @youtube videos. Identify any skill gaps and recommend training programs.,"@docs, @youtube"
Client Proposal Review & Analysis,Increased Output & Efficiency,Cross-reference key points in your Client Proposal with past email interactions to tailor the proposal more closely to the client's needs. Enhance the proposal's effectiveness and expedite the sales process.,"Summarize the key points of the Client Proposal in @docs. Based on my @gmail interactions with the client, provide recommendations on any additional information or changes that could make the proposal more compelling.","@docs, @gmail"
Website or Blog Post Media Enhancement,Increased Output & Efficiency,Integrating multimedia content can greatly enhance user engagement on a website.,Review the website copy or blog posts in @docs. Highlight sections that may benefit from richer content. Suggest @youtube videos or other visual content that can be embedded to provide a more engaging user experience.,"@docs, @youtube"
Early Renewal Discounts,Cost Savings,Early renewal often comes with cost savings. This prompt aims to proactively identify such opportunities.,Scan my @gmail for subscriptions and contracts that are due for renewal in the next three months. Research online or through the service provider to see if there are any discounts available for early renewal.,@gmail
Budget Travel Planning,Productivity & Time-Saving,"This prompt automates the task of finding budget-friendly flights, potentially saving both time and money.",Scan my upcoming travel plans in @gmail and use @flights to find the most economical round-trip flights for these dates.,"@flights, @gmail"
Blog Post Feedback,Increased Output & Efficiency,Effective blogging often requires a mix of solid structure and timely content.,"Examine my 'Blog Post Draft' in @docs. Provide feedback on structure, coherence, and relevance. Additionally, suggest related topics or current events that could be incorporated to enhance its appeal.",@docs
Lead Outreach Follow-up Analysis,Lead Generation & Sales Improvement,"By analyzing outreach metrics, this prompt helps to identify opportunities for follow-up, potentially turning cold leads into sales opportunities.",Scan my @gmail for emails labeled 'Lead Outreach' sent in the last three months. Summarize the response rates and suggest follow-up strategies for non-responders.,@gmail
Sales Email Analysis,Lead Generation & Sales Improvement,"This prompt can help identify valuable trends and outliers in sales activity that might otherwise go unnoticed, thereby informing strategy to improve sales.","Analyze my emails labeled 'New Sale' in @gmail and provide insights on the latest sales activity. Identify any trends, outliers, or recommendations to improve sales.",@gmail
Team Upskilling on a Budget,Cost Savings,Free or low-cost training options can be a way to improve your team's skill set without breaking the bank.,Find @youtube tutorials and free courses related to the skill gaps I've identified in my team (documented in @docs). Summarize the options available.,"@docs, @youtube"
Venue Sourcing with Visuals,Business Networking & B2B Marketing,"This prompt not only identifies the best venues but also enhances decision-making by providing YouTube videos, making the venue selection process more efficient.","Find nearby venues on @maps that would be suitable for hosting my business conference. They should have facilities for at least 200 people, parking, and high-speed internet. Show me @youtube videos for the top 3 results.","@maps, @youtube"
Best Places for Networking Events,Business Networking & B2B Marketing,The right venue can make a significant difference in the success of a networking event.,Find locations using @maps that are commonly used for industry events or have high ratings for business meetings. Evaluate their potential for hosting our own B2B networking events.,@maps
Energy-Efficient Venue Search,Cost Savings,Choosing energy-efficient venues can be both eco-friendly and cost-effective in the long term.,Find venues on @maps that advertise energy-efficient facilities or green initiatives. Compare these options to traditional venues for hosting my next corporate event.,@maps
Email-Based Expense Audit,Cost Savings,Identifying and evaluating recurring payments can lead to substantial cost savings by eliminating unused or unnecessary subscriptions.,Scan my @gmail for emails related to software subscriptions or recurring payments in the last 6 months. Summarize the cost and renewal dates and recommend which ones to keep or cancel.,@gmail
Efficient Content Consumption,Productivity & Time-Saving,"This prompt aids in professional development by identifying concise, relevant content, thus saving time.","Search @youtube for summaries or highlights of the latest industry conferences in my field. Provide a list sorted by duration, shortest first.",@youtube
Industry Expertise Through Content,Business Networking & B2B Marketing,Keeping abreast of industry knowledge can give you a competitive edge in B2B interactions.,"Find @youtube videos related to trends, technologies, or best practices in my industry. Summarize the topics covered and recommend how to use this information in conversations with B2B clients.",@youtube
Quarterly Business Review Preparation,Increased Output & Efficiency,Preparation for a Quarterly Business Review (QBR) can be time-consuming. Automating the initial research and outline generation can save hours.,Summarize the most critical documents and emails in @docs and @gmail related to this quarter's business performance. Generate an outline for a Quarterly Business Review presentation.,"@docs, @gmail"
Competitor Analysis Through Content,Lead Generation & Sales Improvement,"This prompt provides an automated form of competitor analysis, offering insights that could lead to improved sales.",Search @youtube for the latest product launches and reviews related to my industry. Summarize key features and market reactions. Suggest how we can incorporate successful elements into our products.,@youtube
Recommended Reading,Learning & Development,"Further reading can provide more in-depth knowledge, enabling better decision-making and problem-solving.",Search @youtube for expert talks or interviews related to my industry or profession. Summarize the main points and suggest relevant books or articles for deeper learning.,@youtube
Analyzing Vendor Communications,Cost Savings,"This prompt can help businesses save money by keeping track of discounts, promotions, or special offers from vendors. The model will identify and summarize these opportunities, allowing businesses to act on them timely.","Check my @gmail email inbox for any emails from vendors that mention 'discount', 'promotion', or 'special offer' in the last month. Summarize these opportunities and provide recommendations for taking advantage of them.",@gmail
Efficient Hotel Booking for Business Travel,Increased Output & Efficiency,"Efficient hotel booking saves money and minimizes transit times to and from meetings, thus allowing for better focus and preparation.",Check my @gmail for upcoming business trips and use @hotels to find hotels that are both cost-effective and near the meeting locations as indicated in the emails. Summarize the options.,"@gmail, @hotels"
Efficient Research for Content Creation,Increased Output & Efficiency,"For content creators, marrying their own research with trends and information on YouTube can lead to richer, more engaging content, produced more efficiently.",Scan my most recent documents in @docs related to upcoming content topics. Search @youtube for complementary information or trends about these topics. Provide summaries and potential integration points.,"@docs, @youtube"
Learning Resources Summary,Learning & Development,Having a consolidated list of learning resources can help you plan your development efforts more effectively.,"Scan my @gmail for any links or mentions of e-books, courses, or webinars sent to me in the past six months. Summarize these resources and categorize them by their relevance to my professional development goals.",@gmail
Geo-Optimized Client Meetings,Increased Output & Efficiency,"By optimizing routes for client meetings, you can spend more time with clients and less time on the road, thereby increasing output.",Scan my @gmail for upcoming client meetings. Use @maps to determine the geographical locations of each and suggest an optimized route to minimize travel time.,"@gmail, @maps"
Local SEO Opportunities,Lead Generation & Sales Improvement,"Local SEO can be a powerful tool for generating leads, and this prompt helps you get started by identifying local competitors and keywords.",Scan my @docs for keywords related to my business and industry. Use @maps to identify local businesses in my industry and their ratings. Suggest local SEO strategies to improve lead generation.,"@docs, @maps"
B2B Prospect Prioritization,Business Networking & B2B Marketing,Prioritizing B2B prospects based on engagement and relevance can help focus your sales efforts more effectively.,Analyze my @gmail for conversations labeled 'B2B Prospects' in the last three months. Rank the conversations by level of engagement and industry relevance. Provide recommendations for prioritized follow-ups.,@gmail
eBook Promotion,Lead Generation & Sales Improvement,Strategic promotion can maximize the reach and impact of an eBook.,"Inspect the topics covered in my eBook PDF in @docs. Based on the subject matter, suggest relevant online communities or platforms where they can be promoted. Also, recommend @youtube influencers or channels that align with the eBook topics for potential collaboration or shout-outs.","@docs, @youtube"
Skill Gap Analysis,Learning & Development,This prompt is aimed at facilitating personal development by identifying skill gaps and suggesting ways to address them.,Analyze my @docs for any performance reviews or self-assessments conducted in the past year. Identify areas where skills have been noted as lacking or needing improvement. Recommend courses or @youtube tutorials that address these gaps.,"@docs, @youtube"
Expanded Learning from eBook,Learning & Development,Pairing written content with video can provide a richer learning experience.,Examine the topics covered in 'Business eBook' in @docs. Suggest a list of @youtube channels or playlists that delve deeper into these subjects for further learning.,"@docs, @youtube"
Workflow Efficiency Audit,Increased Output & Efficiency,Streamlined workflows increase efficiency and output by eliminating unnecessary steps.,Summarize the documents in my @drive that detail my current workflows or standard operating procedures. Identify any redundant steps and provide recommendations for streamlining these workflows.,@drive
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
